Order ID,Order Month,Sales,Country,Category,Customer ID
CA-2014-146591,2014/1,108.72,United States,Office Supplies,TS-21340
CA-2014-135405,2014/1,9.344,United States,Office Supplies,MS-17830
CA-2014-135405,2014/1,31.2,United States,Technology,MS-17830
CA-2014-167927,2014/1,66.58,United States,Office Supplies,XP-21865
CA-2014-167927,2014/1,43.92,United States,Office Supplies,XP-21865
CA-2014-167927,2014/1,14.73,United States,Furniture,XP-21865
CA-2014-167927,2014/1,29.7,United States,Office Supplies,XP-21865
CA-2014-134103,2014/1,10.56,United States,Office Supplies,MV-18190
CA-2014-134103,2014/1,229.94,United States,Office Supplies,MV-18190
CA-2014-149524,2014/1,61.96,United States,Furniture,BS-11590
CA-2014-115161,2014/1,290.666,United States,Furniture,LC-17050
CA-2014-167199,2014/1,6.54,United States,Office Supplies,ME-17320
CA-2014-167199,2014/1,31.12,United States,Office Supplies,ME-17320
CA-2014-167199,2014/1,755.96,United States,Technology,ME-17320
CA-2014-167199,2014/1,391.98,United States,Technology,ME-17320
CA-2014-167199,2014/1,5.48,United States,Office Supplies,ME-17320
CA-2014-167199,2014/1,609.98,United States,Office Supplies,ME-17320
CA-2014-167199,2014/1,2573.82,United States,Furniture,ME-17320
CA-2014-102645,2014/1,40.08,United States,Office Supplies,IM-15055
US-2014-147627,2014/1,1067.94,United States,Furniture,HL-15040
US-2014-147627,2014/1,23.34,United States,Office Supplies,HL-15040
US-2014-147627,2014/1,6.63,United States,Office Supplies,HL-15040
US-2014-147627,2014/1,38.6,United States,Furniture,HL-15040
US-2014-147627,2014/1,22.96,United States,Office Supplies,HL-15040
US-2014-147627,2014/1,699.93,United States,Technology,HL-15040
CA-2014-167997,2014/1,10.68,United States,Office Supplies,CA-11965
CA-2014-167927,2014/1,19.05,United States,Office Supplies,XP-21865
CA-2014-167927,2014/1,272.94,United States,Furniture,XP-21865
CA-2014-167927,2014/1,13.98,United States,Office Supplies,XP-21865
CA-2014-141817,2014/1,19.536,United States,Office Supplies,MB-18085
CA-2014-146591,2014/1,181.47,United States,Furniture,TS-21340
CA-2014-146997,2014/1,5.94,United States,Office Supplies,SG-20605
CA-2014-146591,2014/1,56.064,United States,Office Supplies,TS-21340
CA-2014-146591,2014/1,32.34,United States,Office Supplies,TS-21340
CA-2014-123477,2014/1,64.864,United States,Office Supplies,DW-13195
CA-2014-130813,2014/1,19.44,United States,Office Supplies,LS-17230
CA-2014-148614,2014/1,19.36,United States,Office Supplies,MV-17485
US-2014-155502,2014/1,62.82,United States,Furniture,SD-20485
US-2014-155502,2014/1,489.92,United States,Office Supplies,SD-20485
US-2014-155502,2014/1,19.44,United States,Office Supplies,SD-20485
US-2014-155502,2014/1,16.68,United States,Office Supplies,SD-20485
US-2014-155502,2014/1,155.35,United States,Technology,SD-20485
CA-2014-130092,2014/1,9.94,United States,Furniture,SV-20365
US-2014-155502,2014/1,12.42,United States,Furniture,SD-20485
CA-2014-148614,2014/1,19.3,United States,Furniture,MV-17485
CA-2014-118192,2014/1,37.408,United States,Office Supplies,MM-17920
CA-2014-118192,2014/1,3.438,United States,Office Supplies,MM-17920
CA-2014-105417,2014/1,10.43,United States,Office Supplies,VS-21820
CA-2014-105417,2014/1,76.728,United States,Furniture,VS-21820
CA-2014-157147,2014/1,19.9,United States,Office Supplies,BD-11605
CA-2014-157147,2014/1,333.999,United States,Furniture,BD-11605
CA-2014-157147,2014/1,1325.85,United States,Office Supplies,BD-11605
CA-2014-109232,2014/1,545.94,United States,Furniture,ND-18370
CA-2014-103800,2014/1,16.448,United States,Office Supplies,DP-13000
CA-2014-103366,2014/1,149.95,United States,Technology,EH-13990
CA-2014-100328,2014/1,3.928,United States,Office Supplies,JC-15340
US-2014-155502,2014/1,187.98,United States,Technology,SD-20485
CA-2014-167997,2014/1,141.96,United States,Furniture,CA-11965
CA-2014-167927,2014/1,247.716,United States,Office Supplies,XP-21865
CA-2014-115791,2014/1,124.2,United States,Technology,DL-13315
CA-2014-162775,2014/1,5.64,United States,Office Supplies,CS-12250
CA-2014-149020,2014/1,51.94,United States,Furniture,AJ-10780
CA-2014-149020,2014/1,2.89,United States,Office Supplies,AJ-10780
US-2014-117163,2014/1,57.23,United States,Office Supplies,EJ-13720
US-2014-117163,2014/1,333.0,United States,Furniture,EJ-13720
CA-2014-110422,2014/1,25.248,United States,Furniture,TB-21400
CA-2014-115791,2014/1,127.104,United States,Furniture,DL-13315
CA-2014-115791,2014/1,18.588,United States,Office Supplies,DL-13315
CA-2014-115791,2014/1,30.072,United States,Office Supplies,DL-13315
CA-2014-162775,2014/1,572.58,United States,Office Supplies,CS-12250
CA-2014-112326,2014/1,3.54,United States,Office Supplies,PO-19195
CA-2014-112326,2014/1,272.736,United States,Office Supplies,PO-19195
CA-2014-106054,2014/1,12.78,United States,Office Supplies,JO-15145
US-2014-147774,2014/1,67.194,United States,Office Supplies,MM-18280
CA-2014-162775,2014/1,646.74,United States,Technology,CS-12250
CA-2014-112326,2014/1,11.784,United States,Office Supplies,PO-19195
CA-2014-162775,2014/1,11.36,United States,Office Supplies,CS-12250
CA-2014-162775,2014/1,50.94,United States,Office Supplies,CS-12250
US-2014-117163,2014/1,36.44,United States,Office Supplies,EJ-13720
CA-2014-100916,2014/10,194.7,United States,Office Supplies,FH-14275
CA-2014-100916,2014/10,591.32,United States,Furniture,FH-14275
US-2014-151015,2014/10,322.192,United States,Office Supplies,BD-11500
CA-2014-116834,2014/10,345.0,United States,Technology,Dp-13240
US-2014-146353,2014/10,22.92,United States,Office Supplies,JE-15610
US-2014-155817,2014/10,6.192,United States,Office Supplies,SL-20155
CA-2014-116834,2014/10,63.47,United States,Furniture,Dp-13240
CA-2014-108189,2014/10,230.376,United States,Technology,ES-14080
CA-2014-108189,2014/10,15.36,United States,Office Supplies,ES-14080
CA-2014-108189,2014/10,12.768,United States,Office Supplies,ES-14080
CA-2014-108189,2014/10,318.4,United States,Technology,ES-14080
CA-2014-166891,2014/10,589.41,United States,Furniture,CC-12220
CA-2014-108189,2014/10,7.16,United States,Technology,ES-14080
US-2014-151015,2014/10,19.136,United States,Office Supplies,BD-11500
CA-2014-110611,2014/10,83.92,United States,Office Supplies,JD-16015
CA-2014-110408,2014/10,275.97,United States,Office Supplies,AS-10225
CA-2014-151995,2014/10,25.78,United States,Technology,ZC-21910
US-2014-122021,2014/10,7.968,United States,Office Supplies,AC-10660
US-2014-122021,2014/10,183.372,United States,Furniture,AC-10660
CA-2014-151995,2014/10,213.92,United States,Office Supplies,ZC-21910
CA-2014-138240,2014/10,144.6,United States,Office Supplies,SJ-20500
US-2014-151015,2014/10,2.946,United States,Office Supplies,BD-11500
CA-2014-106439,2014/10,11.34,United States,Office Supplies,GG-14650
US-2014-126571,2014/10,201.432,United States,Office Supplies,JF-15565
CA-2014-108189,2014/10,4.672,United States,Office Supplies,ES-14080
US-2014-126571,2014/10,281.904,United States,Office Supplies,JF-15565
CA-2014-163748,2014/10,3.16,United States,Office Supplies,HG-15025
CA-2014-163748,2014/10,1999.96,United States,Technology,HG-15025
CA-2014-117317,2014/10,13.44,United States,Office Supplies,JF-15490
CA-2014-109680,2014/10,386.34,United States,Office Supplies,VP-21760
CA-2014-143168,2014/10,61.96,United States,Office Supplies,IG-15085
CA-2014-106439,2014/10,80.3,United States,Office Supplies,GG-14650
CA-2014-100916,2014/10,2.84,United States,Office Supplies,FH-14275
CA-2014-101931,2014/10,480.74,United States,Office Supplies,TS-21370
CA-2014-142587,2014/10,409.59,United States,Furniture,TB-21520
CA-2014-128538,2014/10,7.64,United States,Office Supplies,AS-10240
US-2014-132745,2014/10,4.71,United States,Office Supplies,NF-18475
CA-2014-106439,2014/10,12.39,United States,Office Supplies,GG-14650
CA-2014-101931,2014/10,7.184,United States,Office Supplies,TS-21370
CA-2014-106439,2014/10,251.91,United States,Technology,GG-14650
CA-2014-142587,2014/10,121.792,United States,Office Supplies,TB-21520
CA-2014-138450,2014/10,186.912,United States,Office Supplies,EH-13765
CA-2014-143168,2014/10,1.344,United States,Office Supplies,IG-15085
CA-2014-152422,2014/10,91.92,United States,Office Supplies,BD-11635
CA-2014-143182,2014/10,15.384,United States,Furniture,DL-12865
CA-2014-148285,2014/10,11.952,United States,Office Supplies,RD-19810
CA-2014-101931,2014/10,6.28,United States,Office Supplies,TS-21370
US-2014-158400,2014/10,49.408,United States,Office Supplies,AH-10030
CA-2014-148285,2014/10,10.368,United States,Office Supplies,RD-19810
CA-2014-138450,2014/10,10.048,United States,Office Supplies,EH-13765
CA-2014-106439,2014/10,146.352,United States,Furniture,GG-14650
US-2014-167262,2014/10,742.336,United States,Technology,AC-10450
CA-2014-138450,2014/10,52.512,United States,Office Supplies,EH-13765
CA-2014-169852,2014/10,36.36,United States,Office Supplies,SF-20965
CA-2014-130729,2014/10,34.272,United States,Office Supplies,AA-10375
CA-2014-101931,2014/10,141.4,United States,Office Supplies,TS-21370
CA-2014-132801,2014/10,107.44,United States,Office Supplies,JG-15805
CA-2014-115084,2014/10,605.34,United States,Furniture,LS-17200
CA-2014-106439,2014/10,15.968,United States,Office Supplies,GG-14650
CA-2014-120775,2014/10,1.788,United States,Office Supplies,RD-19930
CA-2014-120775,2014/10,4.928,United States,Office Supplies,RD-19930
CA-2014-120775,2014/10,31.776,United States,Furniture,RD-19930
US-2014-155817,2014/10,61.568,United States,Office Supplies,SL-20155
CA-2014-114314,2014/10,7.31,United States,Office Supplies,DB-13555
CA-2014-114314,2014/10,8.92,United States,Furniture,DB-13555
CA-2014-120775,2014/10,4.344,United States,Office Supplies,RD-19930
CA-2014-123316,2014/10,7.752,United States,Office Supplies,SP-20545
CA-2014-134677,2014/10,9.09,United States,Technology,XP-21865
CA-2014-106439,2014/10,64.74,United States,Office Supplies,GG-14650
CA-2014-139542,2014/10,13.698,United States,Office Supplies,EH-14185
CA-2014-106439,2014/10,19.296,United States,Office Supplies,GG-14650
CA-2014-106439,2014/10,405.64,United States,Office Supplies,GG-14650
CA-2014-101931,2014/10,616.998,United States,Furniture,TS-21370
CA-2014-139542,2014/10,40.776,United States,Technology,EH-14185
CA-2014-108189,2014/10,9.408,United States,Office Supplies,ES-14080
US-2014-146353,2014/10,269.9,United States,Office Supplies,JE-15610
CA-2014-110408,2014/10,545.88,United States,Furniture,AS-10225
CA-2014-103492,2014/10,0.898,United States,Office Supplies,CM-12715
CA-2014-113047,2014/10,11.85,United States,Office Supplies,AP-10915
CA-2014-166590,2014/10,75.88,United States,Office Supplies,NC-18625
CA-2014-166590,2014/10,1.98,United States,Technology,NC-18625
CA-2014-132542,2014/10,15.36,United States,Office Supplies,AM-10360
US-2014-109456,2014/10,14.352,United States,Office Supplies,LS-17245
CA-2014-137911,2014/10,88.768,United States,Office Supplies,BP-11095
US-2014-154655,2014/10,22.24,United States,Office Supplies,BP-11050
CA-2014-145387,2014/10,385.686,United States,Furniture,AM-10705
CA-2014-124394,2014/10,119.976,United States,Technology,TB-21520
CA-2014-151330,2014/10,1628.82,United States,Furniture,TC-21295
CA-2014-102085,2014/10,29.24,United States,Office Supplies,JD-16015
CA-2014-151330,2014/10,79.45,United States,Office Supplies,TC-21295
